author,total_votes
pechipy\n,0
phuqr\n,0
Willards69\n,0
gwen1975\n,0
Kimmiemo\n,0
KoolKups\n,0
JoyMar\n,0
jacksnap\n,0
mamamiacher\n,0
jane2323\n,0
rdiamond\n,0
ggval\n,0
gjkoras\n,0
ElSchteek\n,0
scoobydo\n,0
Dbakess\n,0
shantelj\n,0
bballmer\n,0
bigjamdaddy\n,0
caaarli\n,0
dustina25\n,0
Cheeka\n,0
Celinefan\n,0
Arnold\n,0
AsaTibb\n,0
BRudders\n,0
drakis\n,0
tankmacman\n,0
dana_s\n,0
AcceptableSN\n,0
2goodforu\n,0
starbucksguru12\n,-10
coffee920\n,-10
ErrNET\n,-10
savegreenbacks\n,-10
dabeho\n,-10
denisehanna23\n,-10
poop1\n,-10
picmeup\n,-10
HotAlt\n,-10
JML1514\n,-10
naveenurs\n,-10
blkeye23\n,-10
AtHome\n,-10
victorious1\n,-10
theharryo\n,-10
hannavas\n,-10
OnTheFritts\n,-10
Marcusnu\n,-10
melcat72\n,-10
miracle27\n,-10
Vemma\n,-10
Vitaco\n,-10
Shelbysac\n,-10
NimbleBean\n,-10
laur2835\n,-10
latte_girl00\n,-10
jmiller\n,-10
Beezer1\n,-10
George4ever\n,-20
MCommerce\n,-20
geralyn\n,-20
Packerfan1966\n,-20
tjohnson1978\n,-20
1yogagirl\n,-20
NYCDIVA\n,-20
LindyNichols\n,-20
XtallMocha\n,-20
StrbckIdea\n,-20
Houlke\n,-20
edm15\n,-20
finicky\n,-20
paygirl\n,-20
bholland25\n,-20
billyjoel\n,-20
bdowning42\n,-20
banity\n,-20
CaribQT\n,-20
El_silverstein\n,-20
d8ad52c9-0b46-4a43-9177-b8d59bf74367\n,-20
runningson\n,-20
sasoderl\n,-20
erookey\n,-20
zhuchen\n,-20
starbucks4reg\n,-20
vegasjoe\n,-20
Natedogg2323\n,-20
jamescrouch\n,-20
Smoppes1\n,-20
harrystyles\n,-20
angielewhoo\n,-20
UncleBuck\n,-20
musicn7\n,-20
MakeBucks\n,-20
mickeygrumpy\n,-20
masterd1996\n,-20
KidSafeMoms\n,-30
jagfan7\n,-30
Abbie4me2\n,-30
6SugarMocha\n,-30
Alejandro1031\n,-30
cdsamurai\n,-30
cvann077\n,-30
Frapp_Fanatic\n,-30
sola\n,-30
Bill3059\n,-30
Casafamily\n,-30
charleereno\n,-30
ceci22\n,-30
bringit2mtnhom\n,-30
JavaGiuseppe\n,-30
Whiteknuckle\n,-30
URFrapismydrug\n,-30
LynnShaw\n,-30
ingridaparicio\n,-30
Ryan19908\n,-30
capitts\n,-30
OneBlonde\n,-30
act7p\n,-30
Ironman6\n,-40
Harley50th\n,-40
GIVENRECEIVE\n,-40
rjmonta\n,-40
Featherly\n,-40
quaildogs\n,-40
brownsweet\n,-40
sewergurl\n,-40
BuckeyeMan\n,-40
1961\n,-40
winstonsalem\n,-40
scarby\n,-40
Dreyneerose\n,-40
FloridaTeacher\n,-40
newcustomer22\n,-40
lj301\n,-40
maryjack\n,-40
Meghraj\n,-40
harleyflanders\n,-40
mrjimmy\n,-40
mukeshrijhwani\n,-40
YUMMYGOOD\n,-40
knwinter\n,-40
N175312\n,-40
jaygeek\n,-40
tkdmom\n,-40
kiely\n,-40
keoki21\n,-40
karli\n,-40
kand\n,-40
APuckNut\n,-50
MRJEFF\n,-50
NJJenn74\n,-50
janecoffee\n,-50
Pgy\n,-50
zarkesh\n,-50
Stellaaaaa\n,-50
Jcbueno\n,-50
Terbuz\n,-50
alyshagray\n,-50
alenem\n,-50
